item_i_index,item_j_index,item_i,item_j,distance,d_ij,c_j
0,0,Start Node,Start Node,0,0.0,0
0,1,Start Node,Coffee Beans,15,1.5,6.99
0,2,Start Node,K-Cups,35,3.5,10.99
0,3,Start Node,Capt. Crunch,65,6.5,3.99
0,4,Start Node,Chewy Bars,90,9.0,3.69
0,5,Start Node,Granola,100,10.0,5.49
0,6,Start Node,Hershey's,95,9.5,2.69
0,7,Start Node,Flour,75,7.5,4.99
0,8,Start Node,Syrup,65,6.5,2.49
0,9,Start Node,Brownie Mix,35,3.5,2.29
0,10,Start Node,Seasoning,20,2.0,3.99
0,11,Start Node,Soup,45,4.5,1.99
0,12,Start Node,Mac & Cheese,65,6.5,2.69
0,13,Start Node,Ketchup,95,9.5,3.49
0,14,Start Node,Pickles,100,10.0,2.99
0,15,Start Node,Italian Dressing,105,10.5,3.99
0,16,Start Node,Soy Sauce,125,12.5,2.49
0,17,Start Node,Penne,120,12.0,3.49
0,18,Start Node,CapriSun,115,11.5,2.49
0,19,Start Node,Tortillas,75,7.5,1.99
0,20,Start Node,Tomato Sauce,45,4.5,2.99
0,21,Start Node,Ibuprofen,60,6.0,5.49
0,22,Start Node,Diapers,75,7.5,25.99
0,23,Start Node,Tootpaste,135,13.5,3.99
0,24,Start Node,Tampons,125,12.5,5.29
0,25,Start Node,Shampoo,140,14.0,8.99
0,26,Start Node,Toilet Paper,65,6.5,7.99
0,27,Start Node,Paper Towels,75,7.5,9.99
0,28,Start Node,Napkins,95,9.5,3.29
0,29,Start Node,Solo Cups,115,11.5,5.69
0,30,Start Node,Trash Bags,145,14.5,8.99
0,31,Start Node,Dish Soap,75,7.5,2.99
0,32,Start Node,Detergent,80,8.0,12.99
0,33,Start Node,Broom,95,9.5,13.99
0,34,Start Node,Dog Treats,125,12.5,3.99
0,35,Start Node,Air Freshner,135,13.5,6.99
0,36,Start Node,Oreos,155,15.5,3.99
0,37,Start Node,Popcorn,125,12.5,3.49
0,38,Start Node,Gatorade (12),105,10.5,6.99
0,39,Start Node,Redbull (4),100,10.0,7.99
0,40,Start Node,Ritz,85,8.5,3.99
0,41,Start Node,Coca Cola (12),95,9.5,5.99
0,42,Start Node,LaCroix (12),105,10.5,5.49
0,43,Start Node,Pepsi (12),100,10.0,5.99
0,44,Start Node,Seltzer (6),165,16.5,3.99
0,45,Start Node,Bottled Water (24),180,18.0,4.99
0,46,Start Node,Milk Gallon,105,10.5,3.79
0,47,Start Node,Butter Sticks,135,13.5,2.99
0,48,Start Node,Cookie Dough,140,14.0,3.99
0,49,Start Node,Chobani (4),155,15.5,4.49
0,50,Start Node,Eggs (12),185,18.5,3.99
0,51,Start Node,Waffles,185,18.5,3.79
0,52,Start Node,Taquitos,145,14.5,6.99
0,53,Start Node,Breyer's Ice Cream,135,13.5,4.99
0,54,Start Node,Lasagna,155,15.5,9.99
